,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
4894,South Delhi,1,1,1,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 20,000"
4895,South Delhi,2,2,1,4,900.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,Price on Request
4896,South Delhi,2,2,1,4,900.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 27,000"
4897,South Delhi,1,1,2,4,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 16,000"
4898,South Delhi,2,2,2,4,1000.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 35,000"
4899,South Delhi,1,1,2,4,500.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 23,000"
4900,South Delhi,1,1,2,4,600.0,Sq.Ft.,Built-up Area,Furnished,North West,Available,Immediately,Contact Agent,"₹ 20,000"
4901,South Delhi,2,2,2,4,800.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 30,000"
4902,South Delhi,1,1,2,4,600.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 20,000"
4903,South Delhi,2,2,1,4,900.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 30,000"
4904,South Delhi,3,3,2,4,1500.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 65,000"
4905,South Delhi,3,3,1,4,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 45,000"
4906,Dwarka,1 Rk,1,1,4,450.0,Sq.Ft.,Saleable Area,Semi-Furnished,South East,Available,,Contact Agent,Price on Request
4907,South Delhi,1,1,,,526.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
4908,South Delhi,3,3,,,1230.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 31,500"
4909,,4,4,2,10,2600.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 60,000"
4910,,3,3,2,8,1550.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 45,000"
4911,Dwarka,3,2,1,8,1550.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 50,000"
4912,Dwarka,4,4,6,10,2800.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 70,000"
4913,South Delhi,2,2,2nd Floor with out lift,4 Floors in building,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
4914,South Delhi,3,3,2nd Floor,4 Floors in building,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 90,000"
