,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
0,North Delhi,3,2,3,,1400.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 52,000"
1,South Delhi,2,2,02nd floor,04,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,No Back-up,Immediately,Contact Agent,"₹ 50,000"
2,South Delhi,3,3,Second Floor  With lift,4rd Floor,1800.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 60,000"
3,Dwarka,3,3,5,10,1700.0,Sq.Ft.,Carpet Area,Semi-Furnished,North East,Available,,Contact Agent,"₹ 70,000"
4,North Delhi,3,2,3,4,1300.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Later,Contact Agent,"₹ 54,000"
5,South Delhi,3,2,1,3,1600.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 75,000"
6,West Delhi,3,2,1,4,160.0,Sq.Yd.,Built-up Area,Furnished,,,,Contact Agent,"₹ 50,000"
7,North Delhi,2,2,3,3,1050.0,Sq.Ft.,Carpet Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 35,000"
8,Central Delhi,2,2,3,,801.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 40,000"
9,South Delhi,3,4,2,4,2230.0,Sq.Ft.,Built-up Area,Furnished,North East,,,Contact Agent,"₹ 40,000"
10,South Delhi,1 Rk,1,3,3,200.0,Sq.Ft.,Built-up Area,Furnished,South East,,Immediately,Contact Owner,"₹ 22,000"
11,North Delhi,2.5,2,2,4,1000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 40,000"
12,South Delhi,1.5,2,5,5,400.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 40,000"
13,East Delhi,2,,2,3,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 27,000"
14,East Delhi,3,3,8,9,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 48,000"
15,East Delhi,3,3,1,7,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 45,000"
16,East Delhi,1 Rk,1,5,7,300.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 12,000"
17,South Delhi,1,1,2,5,450.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,000"
18,Dwarka,3,3,5,12,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,,Immediately,Contact Agent,"₹ 50,000"
19,South Delhi,3,3,1,3,2000.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,₹ 1.2 L
20,South Delhi,1,1,2,4,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,Available,Immediately,Contact Agent,"₹ 35,000"
21,South Delhi,1,1,4,4,350.0,Sq.Ft.,Built-up Area,Furnished,South West,,Immediately,Contact Agent,"₹ 22,000"
22,South Delhi,2,2,Ground,4,900.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 45,000"
23,West Delhi,2,2,,4,800.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Owner,"₹ 18,523"
24,East Delhi,3,2,4,7,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 48,000"
25,South Delhi,2,2,Ground,4,900.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 45,000"
26,South Delhi,2,1,2,3,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,Available,,Contact Agent,"₹ 13,000"
27,West Delhi,2,2,,4,800.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Owner,"₹ 18,523"
28,West Delhi,2,2,3,2,900.0,Sq.Ft.,Built-up Area,Furnished,West,,,Contact Agent,"₹ 25,000"
29,Dwarka,2,,,,1200.0,Sq.Ft.,Saleable Area,Furnished,,,Immediately,Contact Agent,"₹ 56,000"
30,South Delhi,1 Rk,1,4,5,700.0,Sq.Ft.,Built-up Area,Furnished,,No Back-up,Immediately,Contact Agent,"₹ 32,000"
31,Dwarka,1 Rk,1,1,4,450.0,Sq.Ft.,Saleable Area,Furnished,Select View,Available,Immediately,Contact Agent,"₹ 11,001"
32,West Delhi,3,3,3,,280.0,Sq.Yd.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 60,000"
33,West Delhi,2,2,2,3,90.0,Sq.Yd.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 25,000"
34,South Delhi,3,3,1,,2000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 50,000"
35,West Delhi,2,2,12,26,1380.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,,Immediately,Contact Agent,"₹ 45,000"
36,South Delhi,2,2,2,,850.0,Sq.Ft.,Built-up Area,Unfurnished,Select View,,,Contact Agent,"₹ 25,000"
37,Dwarka,3,3,7th,13,1850.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 52,000"
38,North Delhi,3,3,6,8,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 55,000"
39,Dwarka,3.5,3,6,10,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 50,000"
40,South Delhi,3,3,2,4,1500.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 55,000"
41,South Delhi,1,1,,,400.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 32,000"
42,East Delhi,2,2,north east,,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 33,000"
43,South Delhi,2,2,second,four,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,North West,No Back-up,Immediately,Contact Agent,"₹ 75,000"
44,South Delhi,2,2,1st floor,4,1100.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 65,000"
45,South Delhi,1,1,4,4,650.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 15,000"
46,East Delhi,2,2,,,901.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 23,000"
47,East Delhi,2,2,6,7,1200.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 34,000"
48,South Delhi,2,2,ground floor,3,1050.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 60,000"
49,East Delhi,3,2,1,,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 22,000"
50,East Delhi,3,3,1st& 2nd duplex,,1400.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,,Contact Agent,"₹ 40,000"
51,Dwarka,3.5,2,,,1850.0,Sq.Ft.,Built-up Area,Semi-Furnished,,Available,Immediately,Contact Agent,"₹ 48,000"
52,North Delhi,3,2,1,4,1020.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Owner,"₹ 30,000"
53,South Delhi,3,3,2,3,1700.0,Sq.Ft.,Built-up Area,Furnished,,,,Contact Agent,"₹ 90,000"
54,South Delhi,3,2,,,2000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 81,000"
55,Dwarka,3,2,2,,1600.0,Sq.Ft.,Saleable Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 40,000"
56,South Delhi,1,1,1,5,480.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Owner,"₹ 21,000"
57,South Delhi,2,2,1,15,1215.0,Sq.Ft.,Built-up Area,Unfurnished,North East,Available,Immediately,Contact Agent,"₹ 21,000"
58,South Delhi,3,2,3,4,1300.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Later,Contact Agent,"₹ 55,000"
59,South Delhi,1,1,1,5,700.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 25,000"
60,South Delhi,1.5,,2,2,500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 20,000"
61,Central Delhi,1,1,,,650.0,Sq.Ft.,Built-up Area,Furnished,,No Back-up,Immediately,Contact Agent,"₹ 25,000"
62,South Delhi,2.5,2,N,N,900.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 32,000"
63,West Delhi,1 Rk,1,4,14,405.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 22,500"
64,South Delhi,1 Rk,1,4th,4,200.0,Sq.Ft.,Built-up Area,Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 16,500"
65,South Delhi,2,2,1,5,650.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 26,000"
66,East Delhi,2.5,2,3,4,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,North West,No Back-up,Immediately,Contact Agent,"₹ 27,000"
67,South Delhi,3,2,,,127.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 60,000"
68,East Delhi,2,2,,,1150.0,Sq.Ft.,Saleable Area,Semi-Furnished,North,Available,,Contact Agent,"₹ 36,000"
69,East Delhi,3,2,1,4,1250.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
70,Dwarka,1,1,4,4,400.0,Sq.Ft.,Built-up Area,Furnished,North West,,Immediately,Contact Agent,"₹ 20,000"
71,Central Delhi,1 Rk,1,1,4,500.0,Sq.Ft.,Built-up Area,Furnished,North West,Available,Immediately,Contact Agent,"₹ 25,000"
72,West Delhi,3,2,2,4,1100.0,Sq.Ft.,Built-up Area,Unfurnished,East,,Immediately,Contact Agent,"₹ 35,000"
73,Dwarka,3,3,3,7,1650.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Owner,"₹ 60,000"
74,South Delhi,3,3,,,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 35,000"
75,,1,1,1st,3,450.0,Sq.Ft.,Built-up Area,Unfurnished,,Available,Immediately,Contact Agent,"₹ 25,000"
76,South Delhi,2,,4,1,100.0,Sq.Yd.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
77,Dwarka,1,1,,,500.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 15,000"
78,South Delhi,3,3,3rd,5th floor,1500.0,Sq.Ft.,Built-up Area,Furnished,South,Available,Immediately,Contact Agent,"₹ 75,000"
79,South Delhi,3,2,,,1233.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 50,000"
80,North Delhi,2,2,3,4,500.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Owner,"₹ 20,000"
81,South Delhi,3,3,SECOND FLOOR,4TH FLOOR,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,₹ 1.25 L
82,Dwarka,2,1,,,1141.0,Sq.Ft.,Built-up Area,Unfurnished,East,,Immediately,Contact Agent,"₹ 43,000"
83,Dwarka,3,2,,,910.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 22,500"
84,West Delhi,Studio,1,10,12,350.0,Sq.Ft.,Built-up Area,Furnished,Select View,,Immediately,Contact Agent,"₹ 23,000"
85,Dwarka,4,2,4,10,2500.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 65,000"
86,,3,3,,,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 41,000"
87,South Delhi,3,3,2,3,1600.0,Sq.Ft.,Built-up Area,Furnished,North West,Available,Immediately,Contact Agent,"₹ 50,000"
88,South Delhi,4,4,SECOND FLOOR,4TH FLOOR,2600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,₹ 1.85 L
89,North Delhi,2,2,5,8,1300.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 45,000"
90,East Delhi,1,1,2,4,650.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 18,000"
91,South Delhi,1,1,second floor,4,450.0,Sq.Ft.,Built-up Area,Unfurnished,North,No Back-up,,Contact Agent,"₹ 13,500"
92,Dwarka,3,3,6,13,110.0,Sq.Yd.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 55,000"
93,Dwarka,1,1,3,5,550.0,Sq.Ft.,Built-up Area,Unfurnished,West,No Back-up,Immediately,Contact Agent,"₹ 14,900"
94,West Delhi,3,2,2,4,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 20,000"
95,South Delhi,3,3,,,1800.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,,Contact Agent,"₹ 85,000"
96,South Delhi,3,2,1,3,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 55,000"
97,South Delhi,1,1,,,528.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 19,000"
98,South Delhi,2,2,First Floor,,1000.0,Sq.Ft.,Built-up Area,Furnished,,No Back-up,Immediately,Contact Agent,"₹ 70,000"
99,South Delhi,3,2,1Duplex,4,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,₹ 1 L
100,South Delhi,2,2,Second Floor Without lift,3rd Floor,1050.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
101,Dwarka,3,3,10,13,2000.0,Sq.Ft.,Carpet Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 70,000"
102,South Delhi,1.5,2,5,5,400.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 40,000"
103,South Delhi,3,2,ground,4,1550.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 60,000"
104,East Delhi,3,3,7,7,1650.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 50,000"
105,South Delhi,1,1,2,5,450.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,000"
106,Dwarka,3,3,5,12,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,,Immediately,Contact Agent,"₹ 50,000"
107,East Delhi,3,3,6,9,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,Available,Immediately,Contact Agent,"₹ 45,000"
108,South Delhi,Studio,1,4,5,350.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 14,000"
109,South Delhi,2,2,2,4,510.0,Sq.Ft.,Built-up Area,Unfurnished,South West,No Back-up,Immediately,Contact Agent,"₹ 35,000"
110,East Delhi,2,2,6,7,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Later,Contact Agent,"₹ 40,000"
111,East Delhi,3,3,4,6,1500.0,Sq.Ft.,Carpet Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
112,South Delhi,4,4,2,3,3000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,₹ 1.35 L
113,East Delhi,2,2,1,3,950.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 34,000"
114,Dwarka,3,3,11,13,1700.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 50,000"
115,West Delhi,1,1,3,3,60.0,Sq.Yd.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 18,550"
116,West Delhi,Studio,1,10,12,330.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 24,000"
117,South Delhi,2,2,1,2,1500.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,₹ 1 L
118,East Delhi,2,2,6,,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 33,000"
119,South Delhi,3,2,2,4,1100.0,Sq.Ft.,Built-up Area,Furnished,Select View,No Back-up,Immediately,Contact Agent,"₹ 50,000"
120,,1,1,8th,13,370.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 13,000"
121,South Delhi,3,3,3,4,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
122,South Delhi,2.5,1,1,3,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 35,000"
123,East Delhi,2,1,1,4,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 19,000"
124,South Delhi,2,2,2,,700.0,Sq.Ft.,Built-up Area,Furnished,,No Back-up,Immediately,Contact Agent,"₹ 30,000"
125,South Delhi,2,3,ground floor,3,1400.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 70,000"
126,East Delhi,2,2,,,80.0,Sq.Yd.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 18,000"
127,South Delhi,1,,,,650.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,,Immediately,Contact Agent,"₹ 35,000"
128,South Delhi,1.5,1,second,three,500.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,No Back-up,Immediately,Contact Agent,"₹ 40,000"
129,East Delhi,3,3,2,3,1400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 30,000"
130,West Delhi,1,1,1,3,456.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 18,000"
131,South Delhi,2,2,2,,800.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 47,000"
132,North Delhi,2,1,1,4,700.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Owner,"₹ 19,000"
133,South Delhi,3.5,2,1,3,2500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 53,000"
134,South Delhi,Studio,1,2,3,1500.0,Sq.Ft.,Built-up Area,Furnished,North West,,Immediately,Contact Agent,"₹ 55,000"
135,South Delhi,3.5,3,1st Floor in building,4 Floors in building,2700.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,₹ 1.85 L
136,South Delhi,1,2,4th,4,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 13,500"
137,West Delhi,1 Rk,1,4,14,417.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 21,500"
138,East Delhi,3,2,1st floor,3rd floor,1250.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 40,000"
139,Dwarka,2,2,2,4,850.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 35,000"
140,East Delhi,2,2,Ground floor,7,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 33,000"
141,South Delhi,2,2,1,15,1210.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 21,000"
142,Dwarka,Studio,1,1,4,450.0,Sq.Ft.,Saleable Area,Furnished,Select View,,,Contact Agent,"₹ 10,991"
143,South Delhi,2,2,,,127.0,Sq.Yd.,Built-up Area,Furnished,,,,Contact Agent,"₹ 40,000"
144,,3.5,3,5,7,1600.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 60,000"
145,East Delhi,2,2,3,4,1000.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
146,Central Delhi,1,1,,,650.0,Sq.Ft.,Built-up Area,Furnished,,Available,Immediately,Contact Agent,"₹ 24,000"
147,Dwarka,3,3,,,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,Available,Immediately,Contact Agent,"₹ 55,000"
148,South Delhi,3,2,,,1360.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 32,600"
149,South Delhi,3,3,2nd floor,4th,1500.0,Sq.Ft.,Built-up Area,Unfurnished,North,No Back-up,Immediately,Contact Agent,"₹ 57,000"
150,West Delhi,2,2,2,4,1000.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
151,West Delhi,2,3,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 75,000"
152,South Delhi,4,5,THIRD FLOOR WITH TERRS,4TH FLOOR,2700.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,₹ 2.3 L
153,South Delhi,2,2,,,80.0,Sq.Yd.,Built-up Area,Furnished,,Available,,Contact Agent,"₹ 30,000"
154,Dwarka,4,3,4,1,2400.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,,Immediately,Contact Agent,"₹ 60,000"
155,South Delhi,3,3,SECOND FLOOR,4TH FLOOR,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,₹ 2 L
156,South Delhi,1,1,first floor,4,450.0,Sq.Ft.,Built-up Area,Unfurnished,North East,,Immediately,Contact Agent,"₹ 12,500"
157,Dwarka,3,3,1,13,150.0,Sq.Yd.,Saleable Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 75,499"
158,South Delhi,3,3,1,4,1500.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 65,000"
159,East Delhi,2,2,2nd floor,,1150.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,,,Contact Agent,"₹ 36,000"
160,Dwarka,3,3,7,13,2250.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 54,000"
161,East Delhi,3,3,top floor,,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 66,000"
162,Dwarka,2,2,,,1615.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 26,000"
163,North Delhi,2.5,2,3,8,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
164,South Delhi,4,4,,,600.0,Sq.Ft.,Carpet Area,Semi-Furnished,Select View,Available,Immediately,Contact Agent,₹ 5.25 L
165,West Delhi,3,2,1,4,900.0,Sq.Ft.,Built-up Area,Furnished,,No Back-up,Immediately,Contact Agent,"₹ 30,000"
166,Dwarka,4,4,2,4,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 70,000"
167,South Delhi,4,2,,,2388.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,₹ 1.66 L
168,West Delhi,3,2,,,280.0,Sq.Yd.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 60,000"
169,South Delhi,3,2,5,5,1150.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 30,000"
170,South Delhi,3,2,,,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 45,350"
171,South Delhi,3,3,,,1212.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 30,800"
172,West Delhi,Studio,1,,,300.0,Sq.Ft.,Built-up Area,Furnished,Select View,,Immediately,Contact Agent,"₹ 25,000"
173,South Delhi,1,1,5,5,600.0,Sq.Yd.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 22,000"
174,South Delhi,3,2,3,4,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 55,000"
175,South Delhi,3,3,2nd,3,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 75,000"
176,Dwarka,3,2,3,4,1400.0,Sq.Ft.,Carpet Area,Furnished,North East,Available,,Contact Agent,"₹ 55,000"
177,East Delhi,3,2,2,3,1350.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 36,000"
178,South Delhi,2,1,3,5,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 50,000"
179,Dwarka,3,3,1,9,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 49,000"
180,South Delhi,1,1,1,1,500.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 20,000"
181,South Delhi,2,3,1,3,850.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 22,000"
182,East Delhi,2,2,1,4,950.0,Sq.Ft.,Built-up Area,Furnished,North East,,,Contact Agent,"₹ 45,000"
183,South Delhi,3,3,,,2800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 75,000"
184,West Delhi,,2,5,40,1732.0,Sq.Ft.,Saleable Area,Semi-Furnished,Select View,,Immediately,Contact Agent,"₹ 80,000"
185,East Delhi,3,3,ground,4,1260.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
186,Dwarka,1,1,,2nd,350.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 11,000"
187,West Delhi,2,2,2,4,95.0,Sq.Yd.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 27,000"
188,,2,2,2,2,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 34,000"
189,East Delhi,3,3,3,3,1350.0,Sq.Ft.,Carpet Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 38,000"
190,South Delhi,3,3,2,3,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,₹ 1.5 L
191,East Delhi,1,1,1,4,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 15,000"
192,South Delhi,2,2,2,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 22,000"
193,South Delhi,2,2,2,4,950.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 45,000"
194,South Delhi,1,2,ground,4,650.0,Sq.Ft.,Built-up Area,Furnished,West,,Immediately,Contact Agent,"₹ 30,000"
195,East Delhi,5,5,6,8,3271.0,Sq.Ft.,Saleable Area,Unfurnished,,,Immediately,Contact Agent,₹ 2.5 L
